src_ip,src_count,dst_ip,dst_count
172.16.2.168,1751,172.16.2.168,2117
172.16.3.4,859,172.16.3.4,859
172.16.61.46,621,172.16.61.46,399
172.16.200.3,169,172.16.4.19,145
172.16.4.19,147,172.16.4.128,129
172.16.4.128,130,172.16.3.255,82
172.16.200.4,128,172.16.200.3,76
0.0.0.0,34,172.16.200.4,70
172.16.4.6,10,255.255.255.255,34
172.16.4.91,10,169.254.255.255,11
172.16.1.86,10,172.16.1.132,10
172.16.3.84,10,172.16.4.6,10
172.16.1.132,10,172.16.4.91,10
169.254.74.166,9,172.16.3.84,10
172.16.3.36,7,172.16.1.86,10
